---config@主码别名=主码
---config@主码-系统码表别名=系统码表
---config@主码-用户码表别名=词库
---config@主码-次显码表别名=生僻字
---config@主码-分类码表别名1=一简二重
---config@辅码别名= 拼音 
工	a
$ddcmd(茗,茗            )	aqkf
$ddcmd(茚,茚            )	aqgb
$ddcmd(茛,茛            )	avu
$ddcmd(茜,茜            )	asf
$ddcmd(茝,茝            )	aahh
$ddcmd(茨,茨            )	auq
$ddcmd(茭,茭            )	aur
$ddcmd(茯,茯            )	awd
$ddcmd(茱,茱            )	atfu
$ddcmd(茳,茳            )	aia
$ddcmd(茴,茴            )	alkf
$ddcmd(茹,茹            )	avk
$ddcmd(茺,茺            )	ayc
$ddcmd(茼,茼            )	amg
$ddcmd(茽,茽            )	awkh
$ddcmd(荀,荀            )	aqj
$ddcmd(荁,荁            )	agjg
$ddcmd(荃,荃            )	awgf
$ddcmd(荄,荄            )	aynw
$ddcmd(荇,荇            )	atgs
$ddcmd(荏,荏            )	awt
$ddcmd(荑,荑            )	agx
$ddcmd(荓,荓            )	auaj
$ddcmd(荖,荖            )	aftx
$ddcmd(荙,荙            )	adpu
$ddcmd(荚,荚            )	agud
$ddcmd(荛,荛            )	aat
$ddcmd(荜,荜            )	axxf
$ddcmd(荞,荞            )	atdj
$ddcmd(荟,荟            )	awfc
$ddcmd(荠,荠            )	ayjj
$ddcmd(荥,荥            )	api
$ddcmd(荦,荦            )	apt
$ddcmd(荨,荨            )	avf
$ddcmd(荩,荩            )	anyu
$ddcmd(荪,荪            )	abiu
$ddcmd(荬,荬            )	anud
$ddcmd(荭,荭            )	axa
$ddcmd(荮,荮            )	axf
$ddcmd(荸,荸            )	afpb
$ddcmd(荻,荻            )	aqto
$ddcmd(荼,荼            )	awgs
$ddcmd(荽,荽            )	aev
$ddcmd(莅,莅            )	awu
$ddcmd(莆,莆            )	as
$ddcmd(莎,莎            )	aii
$ddcmd(莒,莒            )	akkf
$ddcmd(莓,莓            )	atxu
$ddcmd(莘,莘            )	auj
$ddcmd(莙,莙            )	avtk
$ddcmd(莛,莛            )	atfp
$ddcmd(莜,莜            )	awh
$ddcmd(莝,莝            )	awwf
$ddcmd(莞,莞            )	apfq
$ddcmd(莠,莠            )	atb
$ddcmd(莨,莨            )	ayv
$ddcmd(莩,莩            )	aebf
$ddcmd(莪,莪            )	atr
$ddcmd(莰,莰            )	afqw
$ddcmd(莳,莳            )	ajfu
$ddcmd(莴,莴            )	akm
$ddcmd(莶,莶            )	awgg
$ddcmd(莸,莸            )	aqty
$ddcmd(莼,莼            )	axg
$ddcmd(莿,莿            )	asmj
$ddcmd(菀,菀            )	apq
$ddcmd(菁,菁            )	age
$ddcmd(菂,菂            )	arqy
$ddcmd(菅,菅            )	apnf
$ddcmd(菉,菉            )	aviu
$ddcmd(菍,菍            )	awyn
$ddcmd(菏,菏            )	aisk
$ddcmd(菔,菔            )	aeb
$ddcmd(菖,菖            )	ajjf
$ddcmd(菘,菘            )	asw
$ddcmd(菝,菝            )	ard
$ddcmd(菟,菟            )	aqky
$ddcmd(菡,菡            )	abib
$ddcmd(菥,菥            )	asr
$ddcmd(菪,菪            )	apd
$ddcmd(菰,菰            )	abry
$ddcmd(菸,菸            )	aywu
$ddcmd(菹,菹            )	aie
$ddcmd(菼,菼            )	aoou
$ddcmd(菽,菽            )	ahi
$ddcmd(萁,萁            )	adwu
$ddcmd(萃,萃            )	ayw
$ddcmd(萆,萆            )	art
$ddcmd(萋,萋            )	agv
$ddcmd(萏,萏            )	aqe
$ddcmd(萑,萑            )	awyf
$ddcmd(萘,萘            )	adfi
$ddcmd(萚,萚            )	arcg
$ddcmd(萜,萜            )	amhk
$ddcmd(萣,萣            )	apgh
$ddcmd(萦,萦            )	apx
$ddcmd(萩,萩            )	atou
$ddcmd(萱,萱            )	apgg
$ddcmd(萳,萳            )	afmf
$ddcmd(萸,萸            )	aewu
$ddcmd(萹,萹            )	ayna
$ddcmd(萼,萼            )	akkn
$ddcmd(葆,葆            )	awk
$ddcmd(葎,葎            )	atvg
$ddcmd(葑,葑            )	afff
$ddcmd(葖,葖            )	apwd
$ddcmd(葙,葙            )	ash
$ddcmd(葚,葚            )	adw
$ddcmd(葜,葜            )	adhd
$ddcmd(葩,葩            )	arc
$ddcmd(葭,葭            )	anhc
$ddcmd(葰,葰            )	awct
$ddcmd(葳,葳            )	adg
$ddcmd(葴,葴            )	adgk
$ddcmd(葶,葶            )	ayp
$ddcmd(葸,葸            )	aln
$ddcmd(葺,葺            )	akb
$ddcmd(蒄,蒄            )	apff
$ddcmd(蒇,蒇            )	admu
$ddcmd(蒈,蒈            )	axxr
$ddcmd(蒉,蒉            )	akhm
$ddcmd(蒌,蒌            )	aov
$ddcmd(蒎,蒎            )	air
$ddcmd(蒐,蒐            )	arqc
$ddcmd(蒗,蒗            )	aiyv
$ddcmd(蒟,蒟            )	auqk
$ddcmd(蒡,蒡            )	ayuy
$ddcmd(蒨,蒨            )	awge
$ddcmd(蒯,蒯            )	aeej
$ddcmd(蒱,蒱            )	arsu
$ddcmd(蒴,蒴            )	aub
$ddcmd(蒹,蒹            )	auv
$ddcmd(蒺,蒺            )	aut
$ddcmd(蒻,蒻            )	axuu
$ddcmd(蒽,蒽            )	aldn
$ddcmd(蒿,蒿            )	aym
$ddcmd(蓁,蓁            )	adwt
$ddcmd(蓂,蓂            )	apju
$ddcmd(蓇,蓇            )	amef
$ddcmd(蓊,蓊            )	awc
$ddcmd(蓍,蓍            )	aftj
$ddcmd(蓏,蓏            )	arcy
$ddcmd(蓐,蓐            )	adf
$ddcmd(蓑,蓑            )	ayk
$ddcmd(蓓,蓓            )	awuk
$ddcmd(蓖,蓖            )	atl
$ddcmd(蓟,蓟            )	aqg
$ddcmd(蓠,蓠            )	ayr
$ddcmd(蓢,蓢            )	ayve
$ddcmd(蓣,蓣            )	acnm
$ddcmd(蓥,蓥            )	apqf
$ddcmd(蓦,蓦            )	ajdg
$ddcmd(蓰,蓰            )	ath
$ddcmd(蓼,蓼            )	anw
$ddcmd(蓿,蓿            )	apwj
$ddcmd(蔀,蔀            )	aukb
$ddcmd(蔃,蔃            )	axkj
$ddcmd(蔈,蔈            )	asfi
$ddcmd(蔊,蔊            )	aojf
$ddcmd(蔌,蔌            )	askw
$ddcmd(蔟,蔟            )	ayt
$ddcmd(蔫,蔫            )	agh
$ddcmd(蔷,蔷            )	afu
$ddcmd(蔸,蔸            )	arqq
$ddcmd(蔹,蔹            )	awgt
$ddcmd(蔺,蔺            )	auw
$ddcmd(蔻,蔻            )	apfc
$ddcmd(蕃,蕃            )	ato
$ddcmd(蕈,蕈            )	asj
$ddcmd(蕖,蕖            )	aias
$ddcmd(蕗,蕗            )	akhk
$ddcmd(蕙,蕙            )	agj
$ddcmd(蕞,蕞            )	ajb
$ddcmd(蕤,蕤            )	ageg
$ddcmd(蕨,蕨            )	aduw
$ddcmd(蕰,蕰            )	aijl
$ddcmd(蕲,蕲            )	aujr
$ddcmd(蕹,蕹            )	ayxy
$ddcmd(蕺,蕺            )	akby
$ddcmd(蕻,蕻            )	adaw
$ddcmd(薁,薁            )	atmd
$ddcmd(薅,薅            )	avdf
$ddcmd(薏,薏            )	aujn
$ddcmd(薜,薜            )	ank
$ddcmd(薢,薢            )	aqeg
$ddcmd(薤,薤            )	agqg
$ddcmd(薨,薨            )	alpx
$ddcmd(薮,薮            )	aovt
$ddcmd(薰,薰            )	atgo
$ddcmd(薳,薳            )	afkp
$ddcmd(薷,薷            )	afd
$ddcmd(薸,薸            )	aisi
$ddcmd(薹,薹            )	afk
$ddcmd(薿,薿            )	axth
$ddcmd(藁,藁            )	ayms
$ddcmd(藓,藓            )	aqgu
$ddcmd(藜,藜            )	atq
$ddcmd(藟,藟            )	alll
$ddcmd(藠,藠            )	arrr
$ddcmd(藦,藦            )	aosr
$ddcmd(藨,藨            )	aoxo
$ddcmd(藩,藩            )	aitl
$ddcmd(藿,藿            )	afwy
$ddcmd(蘅,蘅            )	atqs
$ddcmd(蘖,蘖            )	atns
$ddcmd(蘘,蘘            )	ayke
$ddcmd(蘧,蘧            )	ahg
$ddcmd(蘩,蘩            )	atx
$ddcmd(蘸,蘸            )	asgo
$ddcmd(蘼,蘼            )	aos
$ddcmd(蛩,蛩            )	awyj
$ddcmd(觋,觋            )	awwq
$ddcmd(觏,觏            )	amfq
$ddcmd(觐,觐            )	akgq
$ddcmd(贳,贳            )	anm
$ddcmd(赜,赜            )	ahkm
$ddcmd(跫,跫            )	awyh
$ddcmd(迓,迓            )	ahtp
$ddcmd(遘,遘            )	amfp
$ddcmd(邛,邛            )	abh
